code,name,category,unit
8010020001,โต๊ะพับไม่มีบังตา ขาเงิน 180x60x72 ซม.,ครุภัณฑ์สำนักงาน,ตัว
8010020002,เก้าอี้ 1 ที่นั่ง ขาขาว พนักพิงพลาสติกขาว เบาะหุ้มหนังเทียม,ครุภัณฑ์สำนักงาน,ตัว
8010020005,PTA-11 โต๊ะข้าง,ครุภัณฑ์สำนักงาน,ชุด
8010020006,PTA-11A SIDE TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010020007,PTA-19 COFFEE TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010020008,PTA-17 COFFEE TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010020009,PTA-15 โต๊ะกลาง,ครุภัณฑ์สำนักงาน,ชุด
8010020010,PTA-13 โต๊ะกลาง,ครุภัณฑ์สำนักงาน,ชุด
8010020011,PTA-18 โต๊ะเด็ก,ครุภัณฑ์สำนักงาน,ชุด
8010020012,PTA-1A โต๊ะข้าง,ครุภัณฑ์สำนักงาน,ชุด
8010020013,PTA-3A WORKING TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010020014,PTA-12 โต๊ะข้าง,ครุภัณฑ์สำนักงาน,ชุด
8010030001,โต๊ะทำงานลิ้นชัก 2 ชั้น พร้อมถาดคีย์บอร์ด 1.20 × 0.75 × 0.75 ม.,ครุภัณฑ์สำนักงาน,ตัว
8010030002,โต๊ะทำงาน2ลิ้นชัก สีขาวขนาด 1.20 × 0.75 × 0.75 ม.,ครุภัณฑ์สำนักงาน,ตัว
8010030003,โต๊ะทำงานไม่มีลิ้นชัก W1200 x D600 x H750 มม.,ครุภัณฑ์สำนักงาน,ตัว
8010030004,PN-1 โต๊ะหัวเตียง,ครุภัณฑ์สำนักงาน,ชุด
8010030005,PTA-26 CONSOLE,ครุภัณฑ์สำนักงาน,ชุด
8010030006,PTA-3 โต๊ะหัวหน้า,ครุภัณฑ์สำนักงาน,ชุด
8010030007,PTA-5A WORKING TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010030008,PTA-1 WORKING TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010030009,PTA-2 WORKING TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010030010,PTA-3 WORKING TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010030011,PTA-4 WORKING TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010030012,PTA-5 WORKING TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010030013,*(ยกเลิก)*PTA-28 โต๊ะวัดความดัน,ครุภัณฑ์สำนักงาน,ชุด
8010030014,PTA-28 โต๊ะวัดความดัน,ครุภัณฑ์สำนักงาน,ชุด
8010030015,PTA-16 โต๊ะ STAFF LOUNGE,ครุภัณฑ์สำนักงาน,ชุด
8010030016,PTA-25 โต๊ะจัดยา,ครุภัณฑ์สำนักงาน,ชุด
8010050002,PTA-27 CONFERENCE TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010050003,PTA-9A CONFERENCE TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010050004,PTA-10 CONFERENCE TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010050005,PTA-9E CONFERENCE TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010050006,PTA-6 โต๊ะประชุม,ครุภัณฑ์สำนักงาน,ชุด
8010050007,PTA-7 CONFERENCE TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010050008,PTA-9D CONFERENCE TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010050009,PTA-8 CONFERENCE TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010070001,โต๊ะวางเครื่องพิมพ์,ครุภัณฑ์สำนักงาน,ตัว
8010090001,โต๊ะพับอเนกประสงค์ หน้าโต๊ะโฟเมก้า W1200 x D450 x H750 มม.,ครุภัณฑ์สำนักงาน,ตัว
8010090002,PN-2 โต๊ะหัวเตียง,ครุภัณฑ์สำนักงาน,ชุด
8010100001,PTA-21 โต๊ะอาหาร,ครุภัณฑ์สำนักงาน,ชุด
8010100002,PTA-20 โต๊ะอาหาร,ครุภัณฑ์สำนักงาน,ชุด
8010100003,PTA-12A SIDE TABLE,ครุภัณฑ์สำนักงาน,ชุด
8010100004,PTA-13A COFFEE TABLE,ครุภัณฑ์สำนักงาน,ชุด
